No.,Player,Debut
1,William Allen,1875
2,George Andrews,1875
3,W.H. Ash,1875
4,Maurice Barlow,1875
5,Richard Bell,1875
6,Brab Casement,1875
7,Abram Combe,1875
8,Henry Cox,1875
9,Abraham Cronyn,1875
10,William Gaffikin,1875
11,Edgar Galbraith,1875
12,Richard Galbraith,1875
13,Francis Hewson,1875
14,Sandy McDonald,1875
15,Edward MacIlwaine,1875
16,Robert Maginniss,1875
17,John Myles,1875
18,George Stack,1875
19,Robert Walkington,1875
20,Henry Walsh,1875
21,David Arnott,1875
22,Tim Cuscaden,1875
23,William Finlay,1875
24,R. Greer,1875
25,Edward Hobson,1875
26,John Ireland,1875
27,Hamilton Moore,1875
28,Ashley Westby,1875
29,Harry Brown,1877
30,Thomas Brown,1877
31,Henry Edwards,1877
32,Thomas Gordon,1877
33,William Hamilton,1877
34,Harry Jackson,1877
35,Hugh Kelly,1877
36,Frederick Kidd,1877
37,Augustus Whitestone,1877
38,William Wilson,1877
39,J. Currell,1877
40,James Heron,1877
41,Henry Murray,1877
42,Garvett Shaw,1877
43,Edward Croker,1878
44,George Fagan,1878
45,W. Griffiths,1878
46,Barney Hughes,1878
47,Robert Matier,1878
48,William Moore,1878
49,Frederick Schute,1878
50,Arthur Archer,1879
51,Jack Bagot,1879
52,William Cummins,1879
53,William Goulding,1879
54,Thomas Harrison,1879
55,William Neville,1879
56,Henry Purdon,1879
57,George Scriven,1879
58,John Taylor,1879
59,James Bristow,1879
60,John Cuppaidge,1879
61,Jack Keon,1879
62,William Pike,1879
63,Willington Willis,1879
64,Arthur Forrest,1880
65,William Heron,1880
66,Meredith Johnston,1880
67,Francis Kennedy,1880
68,Alfred Miller,1880
69,William Wallis,1880
70,David Browning,1881
71,John Burkitt,1881
72,Alfred MacMullen,1881
73,Jones Morell,1881
74,William Peirce,1881
75,Henry Spunner,1881
76,Jack Johnston,1881
77,Robert McLean,1881
78,Joseph Atkinson,1882
79,Gerrard Bent,1882
80,Arthur Downing,1882
81,William Fletcher,1882
82,Ernest Greene,1882
83,Frederick Heuston,1882
84,John Kennedy,1882
85,Ted McCarthy,1882
86,Thomas McCarthy,1882
87,Bob Thompson,1882
88,Thomas Johnson-Smyth,1882
89,Robert Nelson,1882
90,Oliver Stokes,1882
91,Edward Wolfe,1882
92,John Buchanan,1882
93,Robert Morrow,1882
94,Alexander O'Sullivan,1882
95,Joe Pedlow,1882
96,Stewart Bruce,1883
97,Henry King,1883
98,Frank Moore,1883
99,Rowland Scovell,1883
100,Peyton Warren,1883
101,Samuel Collier,1883
102,Henry Brabazon,1884
103,William Higgin,1884
104,Francis Levis,1884
105,Daniel Ross,1884
106,William Rutherford,1884
107,Alexander Gordon,1884
108,Thomas Hobbs,1884
109,Walter Kelly,1884
110,Lewis McIntosh,1884
111,Forbes Maguire,1884
112,John O'Sullivan,1884
113,George Wheeler,1884
114,William Collis,1884
115,Herbert Cook,1884
116,John Fitzgerald,1884
117,William Hallaran,1884
118,Bruce Hamilton,1884
119,Walter Johnstone,1884
120,Charles Jordan,1884
121,John McDaniel,1884
122,Frederick Moore,1884
123,Lambert Moyers,1884
124,Thomas Allen,1885
125,Robert Bradshaw,1885
126,Ernie Crawford,1885
128,Harry Neill,1885
129,John Ross,1885
130,Thomas Shanahan,1885
131,Robert Warren,1885
132,J.A. Thompson,1885
133,William Hogg,1885
134,D.V. Hunter,1885
135,Joseph Chambers,1886
136,Victor le Fanu,1886
137,Ralph Massy-Westropp,1886
138,Maxy Carpendale,1886
139,Robert Herrick,1886
140,James McMordie,1886
141,Francis Miller,1886
142,Joseph Ross,1886
143,Frank Stoker,1886
144,James Waites,1886
145,John Dick,1887
146,John Macaulay,1887
