No.,Player,Position,Debut,Raw-Birth-Data,BirthPlace,County,Province,Country
1,William Allen,Fwd,"v England The Oval, 15 Feb 1875","Born
February 9, 1855, West Derby, Lancashire, England
   ",West Derby,Unkown,Unknown,England
2,George Andrews,Fwd,"v England The Oval, 15 Feb 1875","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
3,W.H. Ash,Fwd,"v England The Oval, 15 Feb 1875","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
4,Maurice Barlow,Fwd,"v England The Oval, 15 Feb 1875","Born
May 10, 1850, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
5,Richard Bell,3Q,"v England The Oval, 15 Feb 1875","Born
circa 1847, ?
   ",Unknown,Unkown,Unknown,Unknown
6,Brab Casement,Fwd,"v England The Oval, 15 Feb 1875","Born
August 19, 1852, Ballycastle, Co Antrim
   ",Ballycastle,Antrim,Ulster,Northern Ireland
7,Abram Combe,Fwd,"v England The Oval, 15 Feb 1875","Born
July 16, 1852, ?
   ",Unknown,Unkown,Unknown,Unknown
8,Henry Cox,FB,"v England The Oval, 15 Feb 1875","Born
December 6, 1852, Bangalore, India
   ",Bangalore,Unkown,Unknown,India
9,Abraham Cronyn,3Q,"v England The Oval, 15 Feb 1875","Born
September 3, 1855, ?
   ",Unknown,Unkown,Unknown,Unknown
10,William Gaffikin,Fwd,"v England The Oval, 15 Feb 1875","Born
July 31, 1853, ?
   ",Unknown,Unkown,Unknown,Unknown
11,Edgar Galbraith,Fwd,"v England The Oval, 15 Feb 1875","Born
June 16, 1853, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
12,Richard Galbraith,HB,"v England The Oval, 15 Feb 1875","Born
June 6, 1852, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
13,Francis Hewson,Fwd,"v England The Oval, 15 Feb 1875","Born
October 9, 1852, ?
   ",Unknown,Unkown,Unknown,Unknown
14,Sandy McDonald,Fwd,"v England The Oval, 15 Feb 1875","Born
December 20, 1853, Newtonards, Down, Northern Ireland
   ",Newtonards,Down,Ulster,Northern Ireland
15,Edward MacIlwaine,HB,"v England The Oval, 15 Feb 1875","Born
April 9, 1873, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
16,Robert Maginniss,Fwd,"v England The Oval, 15 Feb 1875","Born
March 14, 1854, Newton-Saville, Tyrone, Northern Ireland
   ",Newton-Saville,Tyrone,Ulster,Northern Ireland
17,John Myles,HB,"v England The Oval, 15 Feb 1875","Born
March 13, 1855, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
18,George Stack,Fwd,"v England The Oval, 15 Feb 1875","Born
circa 1850, Omagh
   ",Omagh,Tyrone,Ulster,Northern Ireland
19,Robert Walkington,FB,"v England The Oval, 15 Feb 1875","Born
August 8, 1854, Alabama, United States, USA
   ",Alabama,Unkown,Unknown,USA
20,Henry Walsh,Fwd,"v England The Oval, 15 Feb 1875","Born
September 16, 1853, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
21,David Arnott,Fwd,"v England Dublin, 13 Dec 1875","Born
April 27, 1855, Tynemouth, England
   ",Tynemouth,Unkown,Unknown,England
22,Tim Cuscaden,Fwd,"v England Dublin, 13 Dec 1875","Born
November 1, 1853, Wexford
   ",Wexford,Wexford,Leinster,Republic of Ireland
23,William Finlay,Fwd,"v England Dublin, 13 Dec 1875","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
24,R. Greer,Fwd,"v England Dublin, 13 Dec 1875","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
25,Edward Hobson,3Q,"v England Dublin, 13 Dec 1875","Born
December 5, 1851, Hollyfort, Wexford
   ",Hollyfort,Wexford,Leinster,Republic of Ireland
26,John Ireland,Fwd,"v England Dublin, 13 Dec 1875","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
27,Hamilton Moore,FB,"v England Dublin, 13 Dec 1875","Born
June 12, 1856, Connor, Antrim
   ",Connor,Antrim,Ulster,Northern Ireland
28,Ashley Westby,Fwd,"v England Dublin, 13 Dec 1875","Born
circa 1853, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
29,Harry Brown,3Q,"v England The Oval, 5 Feb 1877","Born
May 22, 1857, Donaghmore, Co.Tyrone
   ",Donaghmore,Tyrone,Ulster,Northern Ireland
30,Thomas Brown,Fwd,"v England The Oval, 5 Feb 1877","Born
December 21, 1858, Donaghmore, Co.Tyrone
   ",Donaghmore,Tyrone,Ulster,Northern Ireland
31,Henry Edwards,Fwd,"v England The Oval, 5 Feb 1877","Born
July 18, 1857, Llanddeiniolen, Wales
   ",Llanddeiniolen,Unkown,Unknown,Wales
32,Thomas Gordon,HB,"v England The Oval, 5 Feb 1877","Born
December 15, 1851, ?
   ",Unknown,Unkown,Unknown,Unknown
33,William Hamilton,Fwd,"v England The Oval, 5 Feb 1877","Born
July 1, 1850, ?
   ",Unknown,Unkown,Unknown,Unknown
34,Harry Jackson,Fwd,"v England The Oval, 5 Feb 1877","Born
November 3, 1853, Clones, Monaghan
   ",Clones,Monaghan,Ulster,Republic of Ireland
35,Hugh Kelly,Fwd,"v England The Oval, 5 Feb 1877","Born
circa 1849, ?
   ",Unknown,Unkown,Unknown,Unknown
36,Frederick Kidd,3Q,"v England The Oval, 5 Feb 1877","Born
May 3, 1857, Newry
   ",Newry,Down,Ulster,Northern Ireland
37,Augustus Whitestone,HB,"v England The Oval, 5 Feb 1877","Born
October 29, 1856, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
38,William Wilson,Fwd,"v England The Oval, 5 Feb 1877","Born
November 25, 1852, ?
   ",Unknown,Unkown,Unknown,Unknown
39,J. Currell,Fwd,"v Scotland Belfast, 19 Feb 1877","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
40,James Heron,HB,"v Scotland Belfast, 19 Feb 1877","Born
circa 1855, Moira, Down
   ",Moira,Down,Ulster,Northern Ireland
41,Henry Murray,Fwd,"v Scotland Belfast, 19 Feb 1877","Born
May 12, 1854, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
42,Garvett Shaw,FB,"v Scotland Belfast, 19 Feb 1877","Born
October 11, 1855, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
43,Edward Croker,Fwd,"v England Lansdowne Road, 11 Mar 1878","Born
September 14, 1849, ?
   ",Unknown,Unkown,Unknown,Unknown
44,George Fagan,HB,"v England Lansdowne Road, 11 Mar 1878","Born
November 27, 1858, Bengal, India
   ",Unknown,Unkown,Unknown,India
45,W. Griffiths,Fwd,"v England Lansdowne Road, 11 Mar 1878","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
46,Barney Hughes,Fwd,"v England Lansdowne Road, 11 Mar 1878","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
47,Robert Matier,3Q,"v England Lansdowne Road, 11 Mar 1878","Born
July 3, 1857, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
