No.,Player,Position,Debut
1,William Allen,Fwd,"v England The Oval, 15 Feb 1875"
2,George Andrews,Fwd,"v England The Oval, 15 Feb 1875"
3,W.H. Ash,Fwd,"v England The Oval, 15 Feb 1875"
4,Maurice Barlow,Fwd,"v England The Oval, 15 Feb 1875"
5,Richard Bell,3Q,"v England The Oval, 15 Feb 1875"
6,Brab Casement,Fwd,"v England The Oval, 15 Feb 1875"
7,Abram Combe,Fwd,"v England The Oval, 15 Feb 1875"
8,Henry Cox,FB,"v England The Oval, 15 Feb 1875"
9,Abraham Cronyn,3Q,"v England The Oval, 15 Feb 1875"
10,William Gaffikin,Fwd,"v England The Oval, 15 Feb 1875"
11,Edgar Galbraith,Fwd,"v England The Oval, 15 Feb 1875"
12,Richard Galbraith,HB,"v England The Oval, 15 Feb 1875"
13,Francis Hewson,Fwd,"v England The Oval, 15 Feb 1875"
14,Sandy McDonald,Fwd,"v England The Oval, 15 Feb 1875"
15,Edward MacIlwaine,HB,"v England The Oval, 15 Feb 1875"
16,Robert Maginniss,Fwd,"v England The Oval, 15 Feb 1875"
17,John Myles,HB,"v England The Oval, 15 Feb 1875"
18,George Stack,Fwd,"v England The Oval, 15 Feb 1875"
19,Robert Walkington,FB,"v England The Oval, 15 Feb 1875"
20,Henry Walsh,Fwd,"v England The Oval, 15 Feb 1875"
21,David Arnott,Fwd,"v England Dublin, 13 Dec 1875"
22,Tim Cuscaden,Fwd,"v England Dublin, 13 Dec 1875"
23,William Finlay,Fwd,"v England Dublin, 13 Dec 1875"
24,R. Greer,Fwd,"v England Dublin, 13 Dec 1875"
25,Edward Hobson,3Q,"v England Dublin, 13 Dec 1875"
26,John Ireland,Fwd,"v England Dublin, 13 Dec 1875"
27,Hamilton Moore,FB,"v England Dublin, 13 Dec 1875"
28,Ashley Westby,Fwd,"v England Dublin, 13 Dec 1875"
29,Harry Brown,3Q,"v England The Oval, 5 Feb 1877"
30,Thomas Brown,Fwd,"v England The Oval, 5 Feb 1877"
31,Henry Edwards,Fwd,"v England The Oval, 5 Feb 1877"
32,Thomas Gordon,HB,"v England The Oval, 5 Feb 1877"
33,William Hamilton,Fwd,"v England The Oval, 5 Feb 1877"
34,Harry Jackson,Fwd,"v England The Oval, 5 Feb 1877"
35,Hugh Kelly,Fwd,"v England The Oval, 5 Feb 1877"
36,Frederick Kidd,3Q,"v England The Oval, 5 Feb 1877"
37,Augustus Whitestone,HB,"v England The Oval, 5 Feb 1877"
38,William Wilson,Fwd,"v England The Oval, 5 Feb 1877"
39,J. Currell,Fwd,"v Scotland Belfast, 19 Feb 1877"
40,James Heron,HB,"v Scotland Belfast, 19 Feb 1877"
41,Henry Murray,Fwd,"v Scotland Belfast, 19 Feb 1877"
42,Garvett Shaw,FB,"v Scotland Belfast, 19 Feb 1877"
43,Edward Croker,Fwd,"v England Lansdowne Road, 11 Mar 1878"
44,George Fagan,HB,"v England Lansdowne Road, 11 Mar 1878"
45,W. Griffiths,Fwd,"v England Lansdowne Road, 11 Mar 1878"
46,Barney Hughes,Fwd,"v England Lansdowne Road, 11 Mar 1878"
47,Robert Matier,3Q,"v England Lansdowne Road, 11 Mar 1878"
48,William Moore,Fwd,"v England Lansdowne Road, 11 Mar 1878"
49,Frederick Schute,Fwd,"v England Lansdowne Road, 11 Mar 1878"
50,Arthur Archer,Fwd,"v Scotland Belfast, 17 Feb 1879"
51,Jack Bagot,3Q,"v Scotland Belfast, 17 Feb 1879"
52,William Cummins,Fwd,"v Scotland Belfast, 17 Feb 1879"
53,William Goulding,HB,"v Scotland Belfast, 17 Feb 1879"
54,Thomas Harrison,3Q,"v Scotland Belfast, 17 Feb 1879"
55,William Neville,Fwd,"v Scotland Belfast, 17 Feb 1879"
56,Henry Purdon,Fwd,"v Scotland Belfast, 17 Feb 1879"
57,George Scriven,Fwd,"v Scotland Belfast, 17 Feb 1879"
58,John Taylor,Fwd,"v Scotland Belfast, 17 Feb 1879"
59,James Bristow,Fwd,"v England The Oval, 24 Mar 1879"
60,John Cuppaidge,Fwd,"v England The Oval, 24 Mar 1879"
61,Jack Keon,Fwd,"v England The Oval, 24 Mar 1879"
62,William Pike,FB,"v England The Oval, 24 Mar 1879"
63,Willington Willis,3Q,"v England The Oval, 24 Mar 1879"
64,Arthur Forrest,Fwd,"v England Lansdowne Road, 2 Feb 1880"
65,William Heron,HB,"v England Lansdowne Road, 2 Feb 1880"
66,Meredith Johnston,HB,"v England Lansdowne Road, 2 Feb 1880"
67,Francis Kennedy,Fwd,"v England Lansdowne Road, 2 Feb 1880"
68,Alfred Miller,Fwd,"v England Lansdowne Road, 2 Feb 1880"
69,William Wallis,Fwd,"v Scotland Glasgow, 14 Feb 1880"
70,David Browning,Fwd,"v England Manchester, 5 Feb 1881"
71,John Burkitt,Fwd,"v England Manchester, 5 Feb 1881"
72,Alfred MacMullen,Fwd,"v England Manchester, 5 Feb 1881"
73,Jones Morell,Fwd,"v England Manchester, 5 Feb 1881"
74,William Peirce,3Q,"v England Manchester, 5 Feb 1881"
75,Henry Spunner,HB,"v England Manchester, 5 Feb 1881"
76,Jack Johnston,Fwd,"v Scotland Belfast, 19 Feb 1881"
77,Robert McLean,FB,"v Scotland Belfast, 19 Feb 1881"
78,Joseph Atkinson,3Q,"v Wales Lansdowne Road, 28 Jan 1882"
79,Gerrard Bent,HB,"v Wales Lansdowne Road, 28 Jan 1882"
80,Arthur Downing,Fwd,"v Wales Lansdowne Road, 28 Jan 1882"
81,William Fletcher,3Q,"v Wales Lansdowne Road, 28 Jan 1882"
82,Ernest Greene,HB,"v Wales Lansdowne Road, 28 Jan 1882"
83,Frederick Heuston,Fwd,"v Wales Lansdowne Road, 28 Jan 1882"
84,John Kennedy,Fwd,"v Wales Lansdowne Road, 28 Jan 1882"
85,Ted McCarthy,Fwd,"v Wales Lansdowne Road, 28 Jan 1882"
86,Thomas McCarthy,3Q,"v Wales Lansdowne Road, 28 Jan 1882"
87,Bob Thompson,Fwd,"v Wales Lansdowne Road, 28 Jan 1882"
88,Thomas Johnson-Smyth,Fwd,"v England Lansdowne Road, 6 Feb 1882"
89,Robert Nelson,Fwd,"v England Lansdowne Road, 6 Feb 1882"
90,Oliver Stokes,Fwd,"v England Lansdowne Road, 6 Feb 1882"
91,Edward Wolfe,3Q,"v England Lansdowne Road, 6 Feb 1882"
92,John Buchanan,Fwd,"v Scotland Glasgow, 18 Feb 1882"
93,Robert Morrow,3Q,"v Scotland Glasgow, 18 Feb 1882"
94,Alexander O'Sullivan,Fwd,"v Scotland Glasgow, 18 Feb 1882"
95,Joe Pedlow,HB,"v Scotland Glasgow, 18 Feb 1882"
96,Stewart Bruce,Fwd,"v England Manchester, 5 Feb 1883"
97,Henry King,Fwd,"v England Manchester, 5 Feb 1883"
98,Frank Moore,Fwd,"v England Manchester, 5 Feb 1883"
99,Rowland Scovell,3Q,"v England Manchester, 5 Feb 1883"
100,Peyton Warren,HB,"v England Manchester, 5 Feb 1883"
101,Samuel Collier,HB,"v Scotland Belfast, 17 Feb 1883"
102,Henry Brabazon,Fwd,"v England Lansdowne Road, 4 Feb 1884"
103,William Higgin,HB,"v England Lansdowne Road, 4 Feb 1884"
104,Francis Levis,Fwd,"v England Lansdowne Road, 4 Feb 1884"
105,Daniel Ross,3Q,"v England Lansdowne Road, 4 Feb 1884"
106,William Rutherford,Fwd,"v England Lansdowne Road, 4 Feb 1884"
107,Alexander Gordon,Fwd,"v Scotland Edinburgh, 16 Feb 1884"
108,Thomas Hobbs,Fwd,"v Scotland Edinburgh, 16 Feb 1884"
109,Walter Kelly,Fwd,"v Scotland Edinburgh, 16 Feb 1884"
110,Lewis McIntosh,3Q,"v Scotland Edinburgh, 16 Feb 1884"
111,Forbes Maguire,Fwd,"v Scotland Edinburgh, 16 Feb 1884"
112,John O'Sullivan,FB,"v Scotland Edinburgh, 16 Feb 1884"
113,George Wheeler,3Q,"v Scotland Edinburgh, 16 Feb 1884"
114,William Collis,Fwd,"v Wales Cardiff, 12 Apr 1884"
115,Herbert Cook,Fwd,"v Wales Cardiff, 12 Apr 1884"
116,John Fitzgerald,Fwd,"v Wales Cardiff, 12 Apr 1884"
117,William Hallaran,HB,"v Wales Cardiff, 12 Apr 1884"
118,Bruce Hamilton,HB,"v Wales Cardiff, 12 Apr 1884"
119,Walter Johnstone,Fwd,"v Wales Cardiff, 12 Apr 1884"
120,Charles Jordan,W,"v Wales Cardiff, 12 Apr 1884"
121,John McDaniel,W,"v Wales Cardiff, 12 Apr 1884"
122,Frederick Moore,Fwd,"v Wales Cardiff, 12 Apr 1884"
123,Lambert Moyers,Fwd,"v Wales Cardiff, 12 Apr 1884"
124,Thomas Allen,Fwd,"v England Manchester, 7 Feb 1885"
125,Robert Bradshaw,Fwd,"v England Manchester, 7 Feb 1885"
126,Ernie Crawford,HB,"v England Manchester, 7 Feb 1885"
127,Thomas Lyle,Fwd,"v England Manchester, 7 Feb 1885"
128,Harry Neill,Fwd,"v England Manchester, 7 Feb 1885"
129,John Ross,3Q,"v England Manchester, 7 Feb 1885"
130,Thomas Shanahan,Fwd,"v England Manchester, 7 Feb 1885"
131,Robert Warren,HB,"v England Manchester, 7 Feb 1885"
132,J.A. Thompson,Fwd,"v Scotland Belfast, 21 Feb 1885"
133,William Hogg,Fwd,"v Scotland Edinburgh, 7 Mar 1885"
134,D.V. Hunter,HB,"v Scotland Edinburgh, 7 Mar 1885"
135,Joseph Chambers,Fwd,"v England Lansdowne Road, 6 Feb 1886"
136,Victor le Fanu,Fwd,"v England Lansdowne Road, 6 Feb 1886"
137,Ralph Massy-Westropp,Fwd,"v England Lansdowne Road, 6 Feb 1886"
138,Maxy Carpendale,3Q,"v Scotland Edinburgh, 20 Feb 1886"
139,Robert Herrick,HB,"v Scotland Edinburgh, 20 Feb 1886"
140,James McMordie,Fwd,"v Scotland Edinburgh, 20 Feb 1886"
141,Francis Miller,Fwd,"v Scotland Edinburgh, 20 Feb 1886"
142,Joseph Ross,HB,"v Scotland Edinburgh, 20 Feb 1886"
143,Frank Stoker,Fwd,"v Scotland Edinburgh, 20 Feb 1886"
144,James Waites,Fwd,"v Scotland Edinburgh, 20 Feb 1886"
145,John Dick,Fwd,"v England Lansdowne Road, 5 Feb 1887"
146,John Macaulay,Fwd,"v England Lansdowne Road, 5 Feb 1887"
147,James McLaughlin,HB,"v England Lansdowne Road, 5 Feb 1887"
148,Robert Montgomery,3Q,"v England Lansdowne Road, 5 Feb 1887"
149,Daniel Rambaut,3Q,"v England Lansdowne Road, 5 Feb 1887"
150,Robert Stevenson,Fwd,"v England Lansdowne Road, 5 Feb 1887"
151,Charles Tillie,3Q,"v England Lansdowne Road, 5 Feb 1887"
152,Dolway Walkington,FB,"v England Lansdowne Road, 5 Feb 1887"
153,Edward Walshe,Fwd,"v England Lansdowne Road, 5 Feb 1887"
154,Malcolm Moore,Fwd,"v Scotland Belfast, 19 Feb 1887"
155,W. Davison,Fwd,"v Wales Birkenhead, 12 Mar 1887"
156,Patrick O'Connor,HB,"v Wales Birkenhead, 12 Mar 1887"
157,Thomas Taggart,Fwd,"v Wales Birkenhead, 12 Mar 1887"
158,William Ekin,Fwd,"v Wales Lansdowne Road, 3 Mar 1888"
159,Robert Mayne,Fwd,"v Wales Lansdowne Road, 3 Mar 1888"
160,James Moffatt,Fwd,"v Wales Lansdowne Road, 3 Mar 1888"
161,Ernest Stoker,Fwd,"v Wales Lansdowne Road, 3 Mar 1888"
162,William Morton,Fwd,"v Scotland Edinburgh, 10 Mar 1888"
163,Alfred Walpole,3Q,"v Scotland Edinburgh, 10 Mar 1888"
164,Herbert Andrews,Fwd,"v NZ Natives Lansdowne Road, 1 Dec 1888"
165,Michael Bulger,3Q,"v NZ Natives Lansdowne Road, 1 Dec 1888"
166,Taffy Edwards,FB,"v NZ Natives Lansdowne Road, 1 Dec 1888"
167,Edmund Forrest,Fwd,"v NZ Natives Lansdowne Road, 1 Dec 1888"
168,Joseph Jameson,Fwd,"v NZ Natives Lansdowne Road, 1 Dec 1888"
169,John Lytle,Fwd,"v NZ Natives Lansdowne Road, 1 Dec 1888"
170,John O'Conor,Fwd,"v NZ Natives Lansdowne Road, 1 Dec 1888"
171,James Stevenson,HB,"v NZ Natives Lansdowne Road, 1 Dec 1888"
172,David Woods,3Q,"v NZ Natives Lansdowne Road, 1 Dec 1888"
173,Thomas Donovan,Fwd,"v Scotland Belfast, 16 Feb 1889"
174,Luke Holmes,FB,"v Scotland Belfast, 16 Feb 1889"
175,Llewellyn Nash,Fwd,"v Scotland Belfast, 16 Feb 1889"
176,Thomas Pedlow,3Q,"v Scotland Belfast, 16 Feb 1889"
177,Charles Stack,Fwd,"v Scotland Belfast, 16 Feb 1889"
178,Robert Yeates,3Q,"v Scotland Belfast, 16 Feb 1889"
179,John Cotton,Fwd,"v Wales Swansea, 2 Mar 1889"
180,Robert Dunlop,3Q,"v Wales Swansea, 2 Mar 1889"
181,Alaster McDonnell,HB,"v Wales Swansea, 2 Mar 1889"
182,Henry Richey,Fwd,"v Wales Swansea, 2 Mar 1889"
183,William Davis,Fwd,"v Scotland Edinburgh, 22 Feb 1890"
184,Eddie Doran,Fwd,"v Scotland Edinburgh, 22 Feb 1890"
185,Harry Gifford,FB,"v Scotland Edinburgh, 22 Feb 1890"
186,Ralph Johnston,3Q,"v Scotland Edinburgh, 22 Feb 1890"
187,J. Roche,Fwd,"v Scotland Edinburgh, 22 Feb 1890"
188,Hugh Galbraith,Fwd,"v Wales Lansdowne Road, 1 Mar 1890"
189,Benjamin Tuke,HB,"v England Blackheath, 15 Mar 1890"
190,Sam Lee,3Q,"v England Lansdowne Road, 7 Feb 1891"
191,Charles Rooke,Fwd,"v England Lansdowne Road, 7 Feb 1891"
192,Edwin Cameron,HB,"v Scotland Belfast, 21 Feb 1891"
193,George Collopy,Fwd,"v Scotland Belfast, 21 Feb 1891"
194,Edward Frazer,Fwd,"v Scotland Belfast, 21 Feb 1891"
195,Robert Stokes,Fwd,"v Scotland Belfast, 21 Feb 1891"
196,Herbert Wells,3Q,"v Scotland Belfast, 21 Feb 1891"
197,Thomas Fogarty,Fwd,"v Wales Llanelli, 7 Mar 1891"
198,Robert Pedlow,HB,"v Wales Llanelli, 7 Mar 1891"
199,William Gardiner,3Q,"v England Manchester, 6 Feb 1892"
200,T.J. Johnston,Fwd,"v England Manchester, 6 Feb 1892"
